PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
-0.27543464,-0.0046940236,-0.02175666,0.8103632,0.47507298,0.33395547,0.07438341,0.95151997,-7.1041193,-1.359287,-1.1651444,0.28892583,-0.16838391,-0.23151717,0.15141281,0.2571078,0.08877287,0.7397754,-3.8434837,0.29482916,-0.26426598,2.16429,0.2980918
-4.526879,0.9761636,1.4131197,2.0018036,4.1820793,0.4035644,-4.6355724,-2.552553,0.029836202,0.31891227,-1.397139,2.8365424,0.32751855,-0.6754555,-1.4559662,0.47911108,0.13565432,-2.9782426,-4.1412783,0.44377667,-1.7705404,0.039781965,1.1146097
-0.07287146,0.46101353,-0.67236036,-1.49189,0.40068865,-1.5126393,-0.49878913,-4.209229,-7.748069,-0.5303577,0.2110612,-0.50303596,0.4127901,-1.0571469,-2.9909394,1.3809946,1.4125438,0.23400332,-0.7819448,0.1603507,-2.1467013,-2.1806793,-0.024742376
0.63023823,-1.7820107,0.00050477905,0.09884615,0.5843659,2.8132784,0.31318006,0.97315556,0.70515496,1.6700095,-0.08448246,0.6349724,0.8550213,1.1176008,-0.45356333,-5.907232,0.08745297,-0.4107545,1.2829467,-0.06398252,4.1384854,0.25966486,2.067102
-0.32372424,0.32578292,-1.1537473,1.153621,-2.1839924,-1.1915721,-0.5614597,-2.949721,-1.2237179,-0.49647522,1.3935215,-2.4902012,-0.16508408,-2.6526942,-2.4262128,-1.5950611,1.2100394,0.6471667,-3.0374987,0.3852142,1.5254023,-0.060422536,0.4739669
-1.3449695,-0.3723555,0.1811541,0.6365542,-0.0037780055,1.9885244,-1.0571488,1.1459315,-1.9970651,0.7886733,-1.7280065,-0.45012677,0.22094826,-1.124358,-0.36200595,-1.3528318,2.0137296,-1.535352,3.037373,0.36141068,-0.33610764,-0.06213769,1.1224484
1.0381539,0.5277173,-1.2713507,-1.3952124,0.06631332,-1.9207296,0.421657,-1.044864,-2.3793943,-0.90494245,0.43916816,-1.3909711,3.1805015,-0.8042052,-1.1562365,1.3604977,1.6900171,0.79189724,-1.0334597,0.08223469,-1.8762356,-0.33365825,-2.0385125
-0.46381825,-1.4223634,-1.1977443,-0.05248522,-5.293849,1.2663403,0.21023741,3.6174555,-5.465433,1.1792542,-4.662842,-3.590628,0.55899495,0.35790497,0.35872057,-4.2086105,3.7862556,-0.5120316,4.3184214,0.94485027,-2.2121484,-0.5727916,0.32884777
-0.39621577,-1.3660667,-0.468789,-0.33673427,-1.7942296,5.1826262,-0.10401374,6.514343,-1.4899731,2.5315046,-3.561404,-1.066178,-0.093098514,-0.72463864,-0.34802988,-5.6708913,1.9150089,-0.5640815,3.0170743,1.3862367,0.15497373,-0.1915257,1.8185295
-4.019088,0.7657258,0.24671216,0.21031517,1.2456772,1.1647084,-1.0434909,-6.8277664,-0.33279413,0.07300141,0.7832042,-0.20418774,0.4183619,-1.3081546,-0.9238769,0.25009653,-0.31358746,0.026745593,-0.4643968,0.3010027,-2.3085506,-0.00230356,0.2450949
